store,chain,co_owned,state,southj,centralj,northj,pa1,pa2,shore,ncalls,empft,emppt,nmgrs,wage_st,inctime,firstinc,meals,open,hoursopen,pricesoda,pricefry,priceentree,nregisters,nregisters11,time
46,1,0,0,0,0,0,1,0,0,0,30,15,3,.,19,.,2,7,17,1,1,1,3,3,0
49,2,0,0,0,0,0,1,0,0,0,7,7,4,.,26,.,2,10,13,1,1,2,4,3,0
506,2,1,0,0,0,0,1,0,0,0,3,7,2,.,13,0,2,11,10,1,1,2,3,3,0
56,4,1,0,0,0,0,1,0,0,0,20,20,4,5,26,0,2,10,12,1,1,2,2,2,0
61,4,1,0,0,0,0,1,0,0,0,6,26,5,6,52,0,3,10,12,1,1,2,2,2,0
62,4,1,0,0,0,0,1,0,0,2,0,31,5,5,26,0,2,10,12,1,1,1,2,2,0
445,1,0,0,0,0,0,0,1,0,0,50,35,3,5,26,0,2,6,18,1,1,1,3,3,0
451,1,0,0,0,0,0,0,1,0,0,10,17,5,5,52,0,2,0,24,1,1,1,6,4,0
455,2,1,0,0,0,0,0,1,0,0,2,8,5,5,13,0,1,11,10,1,1,2,2,2,0
458,2,1,0,0,0,0,1,0,0,2,2,10,2,5,19,0,1,11,10,1,1,2,4,4,0
462,3,1,0,0,0,0,0,1,0,0,3,20,3,5,13,0,2,9,13,1,1,1,4,4,0
468,1,0,0,0,0,0,0,1,0,0,40,30,3,5,13,0,2,6,18,1,1,1,4,3,0
469,1,0,0,0,0,0,0,1,0,0,8,27,5,5,39,0,2,6,18,1,1,1,3,2,0
470,1,0,0,0,0,0,0,1,0,0,11,30,3,6,.,0,2,6,18,1,1,1,3,3,0
474,1,0,0,0,0,0,0,1,0,2,6,9,3,5,26,0,2,9,13,1,1,1,3,1,0
481,2,1,0,0,0,0,0,1,0,2,5,18,3,5,26,0,3,11,10,1,1,3,5,4,0
483,2,1,0,0,0,0,0,1,0,0,1,15,1,5,13,0,2,11,10,1,1,2,4,3,0
487,3,1,0,0,0,0,0,1,0,0,10,6,2,5,13,0,2,10,12,1,1,1,6,3,0
488,3,0,0,0,0,0,0,1,0,1,20,13,3,5,13,0,2,6,16,1,1,1,5,5,0
489,3,0,0,0,0,0,0,1,0,2,5,23,2,5,13,0,2,7,14,1,1,1,4,4,0
490,3,1,0,0,0,0,0,1,0,0,10,13,4,5,13,0,2,6,16,1,1,1,4,4,0
493,3,1,0,0,0,0,1,0,0,0,27,12,3,5,26,0,2,6,16,1,1,2,6,3,0
495,3,0,0,0,0,0,0,1,0,2,4,28,3,5,26,0,2,7,15,1,1,1,3,3,0
496,3,1,0,0,0,0,0,1,0,0,10,15,3,5,13,0,2,6,16,1,1,1,5,3,0
499,4,1,0,0,0,0,0,1,0,0,0,28,5,5,26,0,2,10,12,1,1,2,2,2,0
509,3,1,0,0,0,0,0,1,0,2,3,16,3,5,13,0,2,6,16,1,1,1,6,3,0
515,3,1,0,0,0,0,0,1,0,0,7,16,4,5,13,0,2,6,16,1,1,1,5,3,0
37,1,0,0,0,0,0,1,0,0,2,21,9,7,4,4,0,2,7,17,1,1,1,5,3,0
39,1,0,0,0,0,0,1,0,0,0,1,32,2,4,8,.,2,7,18,1,1,1,4,2,0
40,1,0,0,0,0,0,1,0,0,0,10,20,7,4,4,0,2,7,17,1,1,1,3,3,0
41,1,0,0,0,0,0,1,0,0,0,0,27,6,4,18,0,2,7,17,1,1,1,3,3,0
42,1,0,0,0,0,0,1,0,0,2,17,4,5,5,.,.,2,7,17,1,1,1,3,3,0
45,1,0,0,0,0,0,1,0,0,0,0,24,6,4,2,0,2,7,16,1,1,1,3,3,0
47,1,0,0,0,0,0,1,0,0,2,25,15,.,5,4,0,2,6,17,1,1,1,3,3,0
48,1,0,0,0,0,0,1,0,0,0,6,20,3,4,13,0,3,7,14,1,1,1,4,3,0
50,2,0,0,0,0,0,1,0,0,0,6,10,3,5,13,.,2,10,12,1,1,4,4,3,0
51,2,0,0,0,0,0,1,0,0,1,0,15,3,4,.,0,2,10,13,1,1,2,4,3,0
57,4,1,0,0,0,0,1,0,0,0,30,10,3,5,26,0,2,10,12,1,1,1,2,2,0
58,4,1,0,0,0,0,1,0,0,2,8,25,3,5,26,0,2,10,12,1,1,1,2,2,0
59,4,0,0,0,0,0,1,0,0,3,0,15,3,4,26,0,1,8,11,1,1,1,2,2,0
60,4,0,0,0,0,0,1,0,0,0,10,20,5,4,4,0,1,11,12,1,1,1,2,2,0
408,2,1,0,0,0,0,0,1,0,0,2,12,3,5,52,0,3,11,10,1,1,2,4,3,0
430,1,0,0,0,0,0,1,0,0,0,20,25,4,4,13,0,2,7,15,1,1,1,3,3,0
432,1,0,0,0,0,0,1,0,0,0,20,55,5,5,17,0,2,7,16,1,1,1,4,3,0
433,1,0,0,0,0,0,1,0,0,0,10,30,4,4,13,0,2,7,16,1,1,1,3,3,0
434,1,0,0,0,0,0,1,0,0,2,15,50,5,4,6,0,2,7,16,1,1,.,3,3,0
435,1,0,0,0,0,0,1,0,0,1,1,38,3,4,4,0,2,7,16,1,1,1,3,3,0
438,2,0,0,0,0,0,1,0,0,2,0,9,3,4,52,0,2,11,8,1,1,2,2,1,0
440,4,0,0,0,0,0,1,0,0,2,0,25,3,4,19,0,2,11,12,1,1,2,2,2,0
441,4,0,0,0,0,0,1,0,0,2,30,10,3,4,4,0,2,11,12,1,1,1,2,2,0
443,4,0,0,0,0,0,1,0,0,0,4,19,4,4,4,0,2,11,12,1,1,2,2,2,0
444,4,0,0,0,0,0,1,0,0,2,12,20,3,4,19,0,2,11,13,1,1,1,2,2,0
446,1,0,0,0,0,0,0,1,0,2,.,.,3,5,4,0,2,6,18,1,1,1,.,.,0
448,1,0,0,0,0,0,0,1,0,0,8,18,4,5,4,0,2,6,18,1,1,1,3,3,0
449,1,0,0,0,0,0,0,1,0,2,0,25,3,5,4,.,2,6,18,.,.,.,4,4,0
450,1,0,0,0,0,0,0,1,0,0,2,21,3,5,13,0,2,7,17,1,1,1,3,3,0
454,2,1,0,0,0,0,0,1,0,0,1,9,3,5,4,0,2,11,10,1,1,3,4,3,0
459,3,1,0,0,0,0,0,1,0,0,5,20,3,4,13,0,2,6,16,1,1,1,5,.,0
466,4,0,0,0,0,0,0,1,0,2,8,18,4,5,17,0,3,11,12,1,1,1,2,2,0
471,1,0,0,0,0,0,0,1,0,2,25,20,4,4,26,.,2,6,18,1,1,1,2,2,0
472,1,0,0,0,0,0,0,1,0,2,38,2,3,4,52,.,2,7,17,1,1,1,3,3,0
473,1,0,0,0,0,0,0,1,0,0,5,27,4,5,26,1,2,6,17,1,1,1,3,2,0
475,1,0,0,0,0,0,0,1,0,1,25,8,3,5,.,.,1,7,15,1,1,1,3,3,0
476,1,0,0,0,0,0,1,0,0,2,6,30,3,4,52,0,2,6,18,1,1,1,3,3,0
477,1,0,0,0,0,0,0,1,0,1,8,28,4,4,39,0,2,7,17,1,1,1,3,3,0
478,1,0,0,0,0,0,1,0,0,0,32,25,4,5,13,0,2,6,19,1,1,1,3,3,0
485,2,1,0,0,0,0,0,1,0,2,1,9,3,5,26,0,2,11,10,1,1,2,4,3,0
491,3,0,0,0,0,0,0,1,0,0,4,25,2,5,13,0,2,9,13,1,1,1,3,2,0
492,3,1,0,0,0,0,0,1,0,0,2,16,3,5,13,0,2,9,13,1,1,1,2,1,0
497,4,1,0,0,0,0,0,1,0,0,12,15,3,5,13,0,2,10,12,1,1,1,2,2,0
498,4,1,0,0,0,0,0,1,0,2,20,10,3,5,26,0,2,10,12,1,1,1,2,2,0
501,1,0,0,0,0,0,0,1,0,0,14,15,3,4,4,0,2,7,17,1,1,1,3,3,0
503,1,0,0,0,0,0,0,1,0,2,8,14,4,5,.,0,2,7,17,1,1,1,3,3,0
510,3,1,0,0,0,0,0,1,0,0,7,25,4,4,26,0,2,6,16,1,1,1,3,3,0
511,3,1,0,0,0,0,0,1,0,0,4,16,3,5,9,0,2,6,17,1,1,1,4,4,0
514,3,0,0,0,0,0,0,1,0,0,5,20,3,5,26,0,2,6,16,1,1,1,5,3,0
516,3,1,0,0,0,0,0,1,0,2,6,23,3,5,13,0,3,6,16,1,1,1,4,3,0
521,1,0,0,0,0,0,1,0,0,0,3,20,3,4,13,.,2,7,17,.,.,1,4,4,0
522,1,0,0,0,0,0,1,0,0,2,2,30,4,4,26,0,3,7,16,1,1,1,3,3,0
113,1,0,1,0,1,0,0,0,0,0,0,22,4,.,.,.,2,7,16,1,1,1,4,.,0
123,1,0,1,0,1,0,0,0,0,0,0,20,5,.,13,.,2,7,15,1,1,1,2,1,0
135,3,0,1,0,1,0,0,0,0,0,10,20,4,.,26,.,0,9,13,.,.,.,5,3,0
138,3,1,1,0,0,1,0,0,0,0,5,26,2,.,.,.,2,10,12,1,1,1,6,.,0
153,1,0,1,0,0,1,0,0,0,0,0,25,9,.,52,0,1,7,17,1,1,1,4,3,0
181,2,0,1,0,0,1,0,0,0,0,0,13,3,.,.,.,1,11,11,1,1,2,3,2,0
191,4,0,1,0,0,1,0,0,0,0,30,20,4,.,.,.,2,11,12,1,1,1,.,1,0
231,1,0,1,0,0,1,0,0,0,1,.,10,3,.,26,.,2,7,16,1,1,1,2,2,0
236,1,0,1,0,0,1,0,0,0,3,0,34,4,.,17,.,1,7,17,1,1,1,4,3,0
254,4,0,1,1,0,0,0,0,1,0,20,10,3,.,16,.,1,7,16,1,1,1,2,2,0
255,4,0,1,1,0,0,0,0,0,2,0,14,3,.,52,0,1,7,14,1,1,1,2,2,0
294,1,0,1,0,0,1,0,0,0,3,0,35,3,.,26,0,2,7,16,1,1,1,3,3,0
306,3,1,1,0,0,1,0,0,0,0,15,15,3,.,17,.,2,6,17,1,.,1,4,4,0
311,4,0,1,0,0,1,0,0,0,2,0,30,4,.,26,0,2,11,12,1,1,1,2,2,0
315,1,0,1,1,0,0,0,0,0,0,5,19,2,.,4,0,3,7,16,1,1,1,3,2,0
335,1,1,1,1,0,0,0,0,0,0,9,10,3,.,13,0,1,6,17,1,1,1,5,2,0
372,1,1,1,0,0,1,0,0,0,2,0,45,5,.,26,0,3,7,19,1,1,1,4,.,0
6,3,1,1,0,1,0,0,0,0,2,2,2,2,5,13,0,1,11,7,1,1,2,4,2,0
14,2,0,1,0,1,0,0,0,0,0,10,8,2,5,6,0,3,11,11,1,1,2,6,5,0
26,1,0,1,0,0,1,0,0,0,3,30,15,4,6,6,.,2,7,16,1,1,1,4,2,0
27,2,1,1,0,1,0,0,0,0,2,4,10,4,5,.,0,1,11,10,1,1,2,4,3,0
30,2,0,1,0,0,1,0,0,0,4,6,4,2,5,13,0,1,11,10,1,1,3,2,2,0
31,2,0,1,0,1,0,0,0,0,2,4,16,3,5,13,0,2,11,11,1,1,3,4,3,0
33,3,0,1,0,0,1,0,0,0,0,12,20,4,5,26,0,2,6,17,1,1,1,5,4,0
36,4,0,1,0,1,0,0,0,0,0,8,12,4,6,30,0,2,11,13,1,1,3,2,2,0
77,3,0,1,0,0,1,0,0,0,0,6,50,4,5,4,0,2,6,19,1,1,1,6,5,0
78,3,1,1,0,0,1,0,0,0,0,13,10,3,5,26,0,2,6,17,1,1,1,4,2,0
81,4,0,1,0,0,1,0,0,0,4,25,13,3,5,26,0,2,10,12,1,1,1,2,2,0
82,4,0,1,0,0,1,0,0,0,6,8,15,3,5,13,0,2,11,14,1,1,1,2,2,0
83,4,0,1,0,0,1,0,0,0,2,13,20,2,5,13,0,2,11,14,1,1,2,2,2,0
85,1,0,1,0,1,0,0,0,1,3,7,20,3,6,26,1,1,9,13,1,1,1,5,4,0
89,1,1,1,0,1,0,0,0,0,2,10,6,3,5,13,0,2,7,16,1,1,1,3,2,0
94,2,0,1,0,1,0,0,0,0,2,0,25,5,5,26,0,3,11,10,1,1,3,.,.,0
103,4,0,1,0,0,1,0,0,0,2,13,10,3,5,26,0,2,11,12,1,1,1,2,2,0
112,4,0,1,0,0,1,0,0,0,0,4,26,3,5,13,0,2,10,14,1,1,1,2,2,0
128,2,1,1,0,1,0,0,0,0,3,7,8,2,5,.,0,2,11,11,1,1,2,4,2,0
129,3,0,1,0,1,0,0,0,0,3,20,20,3,5,26,0,2,6,16,1,1,1,6,4,0
131,3,0,1,0,1,0,0,0,0,2,15,25,4,6,4,0,2,6,17,1,1,1,5,2,0
139,4,0,1,0,1,0,0,0,0,0,.,.,2,6,.,.,2,11,13,1,1,1,2,1,0
143,4,0,1,0,1,0,0,0,0,3,0,30,3,5,26,0,2,11,12,1,1,1,2,2,0
144,4,0,1,0,1,0,0,0,0,2,10,30,3,5,26,0,2,11,13,1,1,1,2,2,0
145,1,0,1,0,0,1,0,0,0,0,5,17,3,5,13,0,2,7,16,1,1,1,3,2,0
147,1,0,1,0,0,1,0,0,0,0,9,7,3,5,8,0,2,7,14,1,1,1,2,2,0
148,1,0,1,0,0,1,0,0,0,4,5,30,4,5,26,0,2,7,17,1,1,1,3,2,0
151,1,0,1,0,0,1,0,0,0,0,1,12,3,5,12,0,2,7,15,1,1,1,3,3,0
152,1,0,1,0,0,1,0,0,0,0,35,15,4,5,9,1,1,7,15,1,1,1,3,2,0
157,2,0,1,0,0,1,0,0,0,0,10,5,3,5,26,0,1,11,12,1,1,2,3,3,0
161,3,1,1,0,0,1,0,0,0,0,8,25,4,5,19,0,2,6,17,1,1,1,7,3,0
163,3,1,1,0,0,1,0,0,0,0,12,18,3,5,13,0,2,6,17,1,1,1,3,3,0
164,3,1,1,0,0,1,0,0,0,0,4,30,4,5,26,0,2,5,19,1,1,1,5,3,0
165,4,0,1,0,0,1,0,0,0,1,20,10,3,5,15,0,2,11,13,1,1,1,3,2,0
169,1,1,1,0,0,1,0,0,0,0,12,33,4,5,13,0,2,7,16,1,1,1,3,3,0
170,1,1,1,0,0,1,0,0,0,1,10,20,3,5,52,1,2,7,16,1,1,1,3,2,0
187,3,0,1,0,0,1,0,0,1,0,4,20,3,6,26,1,2,7,15,1,1,1,4,3,0
190,3,1,1,0,0,1,0,0,0,0,5,42,4,5,26,0,2,6,16,1,1,1,5,.,0
196,4,1,1,0,0,1,0,0,0,0,8,19,4,5,26,0,2,11,12,1,1,1,2,2,0
197,1,0,1,0,0,1,0,0,0,0,23,10,4,5,26,0,2,7,17,1,1,1,3,2,0
234,1,0,1,0,0,1,0,0,0,2,0,10,3,5,26,.,2,7,16,1,.,0,2,2,0
240,3,1,1,0,0,1,0,0,0,0,15,35,3,5,26,0,2,6,17,1,1,1,6,4,0
241,3,0,1,0,0,1,0,0,0,2,15,25,4,5,13,0,2,7,16,1,1,1,5,5,0
242,3,1,1,0,0,1,0,0,0,0,25,10,3,5,13,0,2,6,17,1,1,1,5,4,0
245,3,0,1,0,0,1,0,0,0,3,15,8,3,6,.,.,1,9,14,1,1,1,4,2,0
259,1,0,1,1,0,0,0,0,0,0,13,12,4,5,4,0,2,8,15,1,1,1,3,3,0
268,1,1,1,1,0,0,0,0,0,1,10,18,4,5,26,0,2,7,15,1,1,1,5,4,0
271,2,1,1,1,0,0,0,0,0,3,0,13,2,5,13,0,2,11,11,1,1,2,4,2,0
272,2,1,1,1,0,0,0,0,0,4,4,11,3,5,4,0,1,11,11,1,1,2,4,2,0
274,2,1,1,1,0,0,0,0,0,0,0,15,2,6,26,0,2,11,10,1,1,2,4,3,0
276,2,1,1,1,0,0,0,0,0,3,5,10,3,5,26,0,2,11,11,1,1,2,4,3,0
296,1,1,1,0,0,1,0,0,0,0,5,16,4,5,26,0,2,7,16,1,1,1,3,3,0
299,2,1,1,0,0,1,0,0,0,0,3,8,2,5,26,.,1,11,12,1,1,2,3,2,0
301,2,1,1,0,0,1,0,0,0,4,8,12,5,5,11,0,3,11,11,1,1,2,3,1,0
320,2,0,1,1,0,0,0,0,1,0,5,9,2,5,13,0,2,11,12,1,1,2,4,4,0
321,2,0,1,1,0,0,0,0,1,0,3,14,3,5,.,0,2,11,13,1,1,2,4,2,0
324,3,0,1,1,0,0,0,0,0,2,20,46,5,5,26,0,2,0,24,1,1,.,5,2,0
326,3,1,1,1,0,0,0,0,1,3,18,45,5,5,11,0,2,0,24,1,1,.,4,3,0
330,4,0,1,1,0,0,0,0,1,0,4,16,3,5,13,0,1,11,16,1,1,1,2,2,0
334,1,0,1,1,0,0,0,0,0,0,10,10,3,5,4,0,3,9,13,1,1,1,3,3,0
349,3,1,1,1,0,0,0,0,0,1,3,27,5,5,6,0,2,6,16,1,1,1,3,3,0
354,4,0,1,1,0,0,0,0,0,3,14,7,3,5,4,0,1,11,11,1,1,1,2,2,0
356,4,0,1,1,0,0,0,0,0,3,12,10,4,5,13,.,1,11,12,1,1,1,2,2,0
357,4,0,1,0,0,1,0,0,0,1,5,20,3,5,16,0,1,11,12,1,1,1,2,2,0
371,1,0,1,0,0,1,0,0,0,0,12,23,4,5,13,0,2,7,16,1,1,1,3,3,0
373,1,1,1,0,0,1,0,0,0,0,14,12,4,5,4,0,2,7,16,1,1,1,6,3,0
375,1,0,1,0,0,1,0,0,0,3,25,10,4,5,26,0,1,7,15,1,1,.,4,2,0
378,1,1,1,0,0,1,0,0,0,4,10,8,4,5,52,0,2,7,19,1,1,1,5,5,0
381,1,0,1,0,0,1,0,0,0,0,10,20,4,5,13,1,2,7,17,1,1,1,4,2,0
403,3,1,1,0,0,1,0,0,0,2,13,31,.,5,26,0,2,6,18,1,1,1,5,4,0
406,4,1,1,0,0,1,0,0,0,0,12,35,4,5,.,0,1,11,12,1,.,2,2,2,0
407,4,1,1,0,0,1,0,0,0,2,5,10,2,6,26,0,2,11,11,1,1,1,1,1,0
409,1,0,1,0,0,1,0,0,0,0,3,60,2,5,39,.,1,7,15,1,1,1,3,3,0
1,1,0,1,0,1,0,0,0,0,0,16,30,4,5,.,0,3,7,16,1,1,1,4,3,0
2,1,0,1,0,1,0,0,0,0,0,10,6,3,5,26,1,1,7,14,1,1,1,2,2,0
3,2,0,1,0,1,0,0,0,0,3,6,13,3,4,13,0,2,11,10,1,1,3,5,3,0
4,3,0,1,0,1,0,0,0,0,0,10,12,3,5,4,0,2,9,13,1,1,2,8,4,0
5,3,0,1,0,1,0,0,0,0,0,5,30,4,5,13,0,1,6,17,1,.,2,5,4,0
8,4,0,1,0,1,0,0,0,0,0,.,25,4,5,.,0,1,11,12,1,1,2,2,1,0
9,1,0,1,0,1,0,0,0,0,2,12,40,4,4,26,0,2,7,16,1,1,1,4,4,0
10,1,0,1,0,1,0,0,0,0,0,15,20,4,4,39,0,2,7,16,1,1,1,3,3,0
11,1,0,1,0,1,0,0,0,0,2,10,30,4,4,26,0,2,7,16,1,1,1,3,3,0
12,1,0,1,0,1,0,0,0,0,0,7,24,3,4,9,0,2,7,16,1,1,1,3,3,0
13,2,0,1,0,1,0,0,0,0,0,0,25,3,5,7,0,2,11,10,1,1,3,5,4,0
15,3,0,1,0,1,0,0,0,0,3,3,25,4,5,9,0,2,6,17,1,1,1,5,4,0
16,3,0,1,0,1,0,0,0,0,0,6,22,4,5,13,0,2,6,17,1,1,.,5,5,0
17,3,0,1,0,1,0,0,0,0,0,0,20,4,4,13,0,2,6,17,1,1,2,6,5,0
18,3,0,1,0,1,0,0,0,0,2,15,25,3,4,13,.,2,6,17,.,.,.,4,4,0
19,1,0,1,1,0,0,0,0,0,3,4,31,4,4,4,0,2,6,16,1,1,1,3,3,0
21,2,0,1,1,0,0,0,0,0,0,5,12,3,4,6,0,2,11,11,1,1,2,3,3,0
22,3,0,1,1,0,0,0,0,0,2,3,15,4,4,26,0,2,7,16,1,1,1,4,1,0
23,1,0,1,0,0,1,0,0,0,2,0,25,3,5,26,0,2,7,16,1,1,1,3,2,0
24,1,0,1,0,1,0,0,0,0,2,15,15,4,5,13,0,2,7,16,1,1,1,4,3,0
28,2,0,1,0,0,1,0,0,0,6,0,14,1,5,.,0,2,11,10,1,1,3,2,1,0
29,2,0,1,0,0,1,0,0,0,3,0,7,2,5,4,0,2,11,11,1,1,3,3,2,0
32,3,0,1,0,0,1,0,0,0,0,10,21,3,5,26,0,2,11,12,1,1,1,4,3,0
34,3,1,1,0,0,1,0,0,0,0,5,15,3,5,26,.,2,11,12,1,1,1,5,3,0
35,4,0,1,0,0,1,0,0,0,2,25,7,4,5,9,0,2,11,12,1,1,2,2,2,0
38,1,0,1,0,1,0,0,0,0,0,15,20,5,4,17,0,2,6,17,1,1,1,3,2,0
63,1,1,1,0,0,1,0,0,0,1,26,6,.,4,26,.,2,6,18,1,1,1,4,3,0
64,1,0,1,0,0,1,0,0,0,1,20,15,3,5,26,0,3,7,16,1,1,1,3,2,0
65,1,0,1,0,0,1,0,0,0,5,0,20,4,5,52,0,2,7,16,1,1,1,3,3,0
66,1,0,1,0,0,1,0,0,0,0,15,18,3,4,26,0,2,7,17,1,1,1,3,2,0
67,1,0,1,0,0,1,0,0,0,0,5,15,6,5,13,0,1,8,14,1,1,1,3,2,0
68,1,0,1,0,0,1,0,0,0,1,30,10,3,4,14,0,3,7,17,1,1,1,3,3,0
69,1,0,1,0,0,1,0,0,0,0,0,27,3,4,13,0,2,7,18,1,1,1,4,2,0
